time,bus,walk,price,area,bal,kosuu,floor,tf,muki,year
25,0,15,3550 ,90.89 ,16.01 ,70,2,5,1,89
25,0,7,5680 ,85.19 ,33.16 ,144,3,11,1,96
31,0,15,750 ,48.85 ,6.00 ,8,3,4,1,70
31,0,15,750 ,48.85 ,6.00 ,20,3,5,1,70
31,0,15,790 ,48.85 ,6.00 ,30,5,5,1,70
31,0,15,850 ,51.31 ,7.10 ,56,2,7,1,70
31,0,15,880 ,48.85 ,6.00 ,16,4,4,1,70
31,0,15,890 ,48.85 ,6.00 ,40,5,5,1,70
31,0,15,990 ,48.85 ,6.00 ,40,1,5,1,70
31,0,15,1880 ,55.57 ,5.03 ,21,1,3,1,95
31,0,11,2980 ,72.49 ,9.30 ,54,1,6,1,99
31,0,9,4380 ,85.98 ,12.43 ,37,4,4,1,98
33,0,15,1750 ,78.92 ,15.03 ,20,5,5,1,69
33,0,8,2180 ,70.07 ,11.26 ,48,2,4,1,89
33,7,2,2580 ,77.30 ,4.20 ,62,4,4,1,93
33,6,1,2890 ,97.80 ,11.13 ,60,2,4,1,91
36,0,10,2280 ,69.02 ,11.56 ,30,3,5,1,94
36,0,9,2280 ,69.02 ,11.56 ,30,3,5,1,94
36,0,9,2280 ,69.02 ,11.56 ,30,3,5,1,94
36,0,10,2580 ,78.92 ,9.16 ,100,1,7,1,87
36,0,7,4180 ,90.80 ,18.07 ,20,1,5,1,99
33,15,2,750 ,48.65 ,6.00 ,20,5,5,1,71
33,15,2,790 ,48.65 ,6.00 ,30,3,5,1,71
33,15,2,1050 ,58.03 ,10.54 ,20,5,5,1,76
33,15,2,1150 ,47.99 ,5.72 ,50,5,5,1,68
33,15,2,1250 ,58.03 ,10.54 ,30,5,5,1,76
33,0,16,1290 ,69.02 ,10.60 ,40,5,5,1,71
33,15,3,1390 ,58.03 ,10.54 ,30,3,5,1,76
33,0,6,1580 ,73.31 ,10.48 ,33,2,5,1,80
33,0,18,1600 ,80.61 ,9.75 ,255,2,9,1,75
33,15,2,1820 ,77.97 ,14.92 ,89,8,15,1,85
33,15,1,1900 ,84.58 ,15.22 ,78,14,14,1,85
33,0,19,1980 ,107.58 ,15.19 ,30,5,5,1,69
33,15,2,2050 ,85.87 ,16.46 ,992,8,15,1,88
33,0,12,2300 ,80.99 ,4.97 ,75,4,5,1,86
33,0,11,2550 ,64.05 ,8.96 ,53,2,7,1,94
33,0,6,2580 ,58.18 ,6.70 ,40,5,8,1,96
33,0,12,2980 ,60.20 ,14.19 ,34,5,7,1,96
33,0,5,3380 ,64.59 ,10.10 ,89,10,12,1,98
33,0,10,4190 ,114.26 ,4.69 ,21,2,6,1,97
33,0,8,4290 ,82.33 ,32.63 ,243,14,20,1,97
35,0,9,1930 ,58.86 ,4.78 ,33,1,5,1,96
35,10,2,1980 ,58.71 ,8.55 ,39,4,6,1,96
35,0,13,1980 ,92.26 ,10.08 ,12,2,3,1,80
35,0,7,3980 ,84.45 ,0.00 ,47,1,4,1,96
54,0,18,650 ,53.52 ,6.18 ,16,4,4,1,69
54,0,18,890 ,51.16 ,6.30 ,40,4,5,1,69
57,0,15,800 ,57.20 ,0.00 ,2080,1,4,1,67
57,0,15,990 ,68.25 ,11.92 ,20,5,5,1,80
57,0,15,1000 ,63.23 ,11.00 ,30,5,5,1,79
57,0,8,1080 ,52.25 ,6.27 ,31,3,7,1,92
57,0,10,1090 ,59.21 ,5.88 ,26,2,5,1,90
60,0,7,1590 ,75.22 ,11.67 ,50,3,5,1,88
44,0,6,630 ,20.52 ,3.69 ,171,4,14,1,92
48,10,4,950 ,64.40 ,6.72 ,136,2,9,1,82
48,26,2,1140 ,80.18 ,18.74 ,30,2,5,1,77
48,0,11,1180 ,64.64 ,6.37 ,63,6,9,1,82
48,0,6,1180 ,76.80 ,11.44 ,103,4,9,1,81
48,26,2,1230 ,79.40 ,9.36 ,30,3,5,1,83
48,26,1,1380 ,94.19 ,13.81 ,30,5,5,1,77
48,10,6,1450 ,99.84 ,28.26 ,28,4,5,1,81
48,0,13,1500 ,69.75 ,14.15 ,20,3,5,1,79
48,0,11,1780 ,62.58 ,8.40 ,61,7,8,1,95
52,0,13,1480 ,75.07 ,20.60 ,77,3,7,1,88
52,0,17,1580 ,97.48 ,3.99 ,12,2,3,1,81
52,0,17,1650 ,97.48 ,3.99 ,8,2,3,1,81
59,0,7,1300 ,79.98 ,9.22 ,12,3,3,1,85
59,0,6,1590 ,78.02 ,7.89 ,127,3,8,1,86
59,0,6,1680 ,64.75 ,12.12 ,57,5,8,1,98
65,7,2,2030 ,80.31 ,14.42 ,1,2,5,1,91
65,7,2,2280 ,81.90 ,12.91 ,44,3,5,1,93
